frame_count,t_in_us,t_due_us,t_pub_us,published
383,36928176691,36928226691,36928226852,1
384,36928193316,36928243316,36928243608,1
385,36928210448,36928260448,36928260668,1
386,36928226533,36928276533,36928276818,1
387,36928243863,36928293863,36928294017,1
388,36928259929,36928309929,36928310209,1
389,36928277073,36928327073,36928327180,1
390,36928293381,36928343381,36928343653,1
391,36928310463,36928360463,36928360591,1
392,36928326768,36928376768,36928376915,1
393,36928343908,36928393908,36928394020,1
394,36928359980,36928409980,36928410259,1
395,36928376601,36928426601,36928426868,1
396,36928393442,36928443442,36928443692,1
397,36928410514,36928460514,36928460665,1
398,36928426575,36928476575,36928477036,1
399,36928443382,36928493382,36928493746,1
400,36928460236,36928510236,36928510460,1
401,36928477301,36928527301,36928527437,1
402,36928494005,36928544005,36928544150,1
403,36928510088,36928560088,36928560434,1
404,36928527012,36928577012,36928577382,1
405,36928543495,36928593495,36928593778,1
406,36928560691,36928610691,36928610833,1
407,36928577641,36928627641,36928627852,1
408,36928593464,36928643464,36928643672,1
409,36928610039,36928660039,36928660237,1
410,36928626856,36928676856,36928677069,1
411,36928643367,36928693367,36928693703,1
412,36928659934,36928709934,36928710215,1
413,36928676748,36928726748,36928727036,1
414,36928693963,36928743963,36928744082,1
415,36928710472,36928760472,36928760831,1
416,36928727299,36928777299,36928777448,1
417,36928743417,36928793417,36928793789,1
418,36928760411,36928810411,36928810540,1
419,36928776888,36928826888,36928827000,1
420,36928794047,36928844047,36928844234,1
421,36928809875,36928859875,36928860815,1
422,36928826554,36928876554,36928876783,1
423,36928843269,36928893269,36928894235,1
424,36928861079,36928911079,36928911222,1
425,36928877039,36928927039,36928927156,1
426,36928894495,36928944495,36928944686,1
427,36928910398,36928960398,36928960663,1
428,36928926740,36928976740,36928976984,1
429,36928943421,36928993421,36928993772,1
430,36928959944,36929009944,36929010168,1
431,36928976675,36929026675,36929027068,1
432,36928994028,36929044028,36929044156,1
433,36929009874,36929059874,36929060164,1
434,36929027325,36929077325,36929077454,1
435,36929043382,36929093382,36929093660,1
436,36929060419,36929110419,36929110583,1
437,36929076732,36929126732,36929126944,1
438,36929093913,36929143913,36929144047,1
439,36929109884,36929159884,36929160178,1
440,36929126595,36929176595,36929176878,1
441,36929143233,36929193233,36929193418,1
442,36929160433,36929210433,36929210525,1
443,36929177132,36929227132,36929227346,1
444,36929193199,36929243199,36929243540,1
445,36929209922,36929259922,36929260210,1
446,36929226550,36929276550,36929276773,1
447,36929243793,36929293793,36929293943,1
448,36929260464,36929310464,36929310587,1
449,36929276534,36929326534,36929327149,1
450,36929293277,36929343277,36929343612,1
